team_id,team_name,league,city_id,city_name,start_date,end_date,alt_names
nhl_calgary-flames,Calgary Flames,nhl,calgary,Calgary,,,Flames
nhl_minnesota-wild,Minnesota Wild,nhl,minnesota,Minnesota,,,Wild
nhl_colorado-avalanche,Colorado Avalanche,nhl,colorado,Colorado,,,Avalanche
nhl_buffalo-sabres,Buffalo Sabres,nhl,buffalo,Buffalo,,,Sabres
nhl_montreal-canadiens,Montreal Canadiens,nhl,montreal,Montreal,,,Canadiens
nhl_new-york-islanders,New York Islanders,nhl,new-york,New York,,,Islanders
nhl_vancouver-canucks,Vancouver Canucks,nhl,vancouver,Vancouver,,,Canucks
nhl_ottawa-senators,Ottawa Senators,nhl,ottawa,Ottawa,,,Senators
nhl_vegas-golden-knights,Vegas Golden Knights,nhl,vegas,Vegas,,,Golden Knights
nhl_detroit-red-wings,Detroit Red Wings,nhl,detroit,Detroit,,,Red Wings
nhl_winnipeg-jets,Winnipeg Jets,nhl,winnipeg,Winnipeg,,,Jets
nhl_arizona-coyotes,Arizona Coyotes,nhl,arizona,Arizona,,,Coyotes
nhl_boston-bruins,Boston Bruins,nhl,boston,Boston,,,Bruins
nhl_st-louis-blues,St. Louis Blues,nhl,st-louis,St. Louis,,,Blues
nhl_pittsburgh-penguins,Pittsburgh Penguins,nhl,pittsburgh,Pittsburgh,,,Penguins
nhl_toronto-maple-leafs,Toronto Maple Leafs,nhl,toronto,Toronto,,,Maple Leafs
nhl_washington-capitals,Washington Capitals,nhl,washington,Washington,,,Capitals
nhl_seattle-kraken,Seattle Kraken,nhl,seattle,Seattle,,,Kraken
nhl_utah-hockey-club,Utah Hockey Club,nhl,utah-hockey,Utah Hockey,,,Club
