league,team_id,week_start,index_score_sum,weighted_score_sum,games
mlb,mlb_ATL,2021-08-03,4,4,6
mlb,mlb_ATL,2021-08-10,5,5,7
mlb,mlb_ATL,2021-08-17,4,4,6
mlb,mlb_ATL,2021-08-24,-1,-1,5
mlb,mlb_ATL,2021-08-31,-2,-2,6
mlb,mlb_ATL,2021-09-07,2,2,6
mlb,mlb_ATL,2021-09-14,-2,-2,6
mlb,mlb_ATL,2021-09-21,4,4,6
mlb,mlb_ATL,2021-09-28,4,4,6
mlb,mlb_ATL,2022-04-05,-1,-1,5
mlb,mlb_ATL,2022-04-12,-1,-1,7
mlb,mlb_ATL,2022-04-19,-1,-1,5
mlb,mlb_ATL,2022-04-26,1,1,7
mlb,mlb_ATL,2022-05-03,1,1,5
mlb,mlb_ATL,2022-05-10,-2,-2,6
mlb,mlb_ATL,2022-05-17,0,0,6
mlb,mlb_ATL,2022-05-24,1,1,7
mlb,mlb_ATL,2022-05-31,4,4,6
mlb,mlb_ATL,2022-06-07,7,7,7
mlb,mlb_ATL,2022-06-14,2,2,6
mlb,mlb_ATL,2022-06-21,0,0,6
mlb,mlb_ATL,2022-06-28,3,3,7
mlb,mlb_ATL,2022-07-05,3,3,7
mlb,mlb_ATL,2022-07-12,2,2,6
mlb,mlb_ATL,2022-07-19,0,0,4
mlb,mlb_ATL,2022-07-26,3,3,5
mlb,mlb_ATL,2022-08-02,-2,-2,6
mlb,mlb_ATL,2022-08-09,6,6,6
mlb,mlb_ATL,2022-08-16,3,3,7
mlb,mlb_ATL,2022-08-23,1,1,5
mlb,mlb_ATL,2022-08-30,4,4,6
mlb,mlb_ATL,2022-09-06,0,0,6
mlb,mlb_ATL,2022-09-13,4,4,6
mlb,mlb_ATL,2022-09-20,1,1,7
mlb,mlb_ATL,2022-09-27,2,2,6
mlb,mlb_ATL,2022-10-04,0,0,2
mlb,mlb_ATL,2023-03-28,2,2,4
mlb,mlb_ATL,2023-04-04,1,1,7
mlb,mlb_ATL,2023-04-11,6,6,6
mlb,mlb_ATL,2023-04-18,-2,-2,6
mlb,mlb_ATL,2023-04-25,3,3,5
mlb,mlb_ATL,2023-05-02,4,4,6
mlb,mlb_ATL,2023-05-09,-2,-2,6
mlb,mlb_ATL,2023-05-16,0,0,6
mlb,mlb_ATL,2023-05-23,-1,-1,7
mlb,mlb_ATL,2023-05-30,1,1,5
mlb,mlb_ATL,2023-06-06,3,3,7
mlb,mlb_ATL,2023-06-13,5,5,5
mlb,mlb_ATL,2023-06-20,4,4,6
mlb,mlb_ATL,2023-06-27,6,6,6
mlb,mlb_ATL,2023-07-04,1,1,5
mlb,mlb_ATL,2023-07-11,-1,-1,3
mlb,mlb_ATL,2023-07-18,0,0,6
mlb,mlb_ATL,2023-07-25,0,0,6
mlb,mlb_ATL,2023-08-01,0,0,6
mlb,mlb_ATL,2023-08-08,3,3,7
mlb,mlb_ATL,2023-08-15,2,2,6
mlb,mlb_ATL,2023-08-22,4,4,6
