league,team_id,month_start,index_score_sum,weighted_score_sum,games
mlb,mlb_CHN,2022-10-01,1,1,5
mlb,mlb_CHN,2023-03-01,1,1,1
mlb,mlb_CHN,2023-04-01,0,0,26
mlb,mlb_CHN,2023-05-01,-8,-8,28
mlb,mlb_CHN,2023-06-01,3,3,25
mlb,mlb_CHN,2023-07-01,4,4,26
mlb,mlb_CHN,2023-08-01,9,9,27
mlb,mlb_CHN,2023-09-01,-3,-3,27
mlb,mlb_CHN,2023-10-01,-1,-1,1
mlb,mlb_CHN,2024-03-01,-1,-1,3
mlb,mlb_CHN,2024-04-01,6,6,26
mlb,mlb_CHN,2024-05-01,-8,-8,28
mlb,mlb_CHN,2024-06-01,-5,-5,27
mlb,mlb_CHN,2024-07-01,2,2,24
mlb,mlb_CHN,2024-08-01,10,10,26
mlb,mlb_CHN,2024-09-01,0,0,26
mlb,mlb_CIN,2020-07-01,-3,-3,7
mlb,mlb_CIN,2020-08-01,-6,-6,24
mlb,mlb_CIN,2020-09-01,7,7,23
mlb,mlb_CIN,2021-04-01,-1,-1,25
mlb,mlb_CIN,2021-05-01,-3,-3,27
mlb,mlb_CIN,2021-06-01,3,3,27
mlb,mlb_CIN,2021-07-01,6,6,26
mlb,mlb_CIN,2021-08-01,4,4,28
mlb,mlb_CIN,2021-09-01,-5,-5,25
mlb,mlb_CIN,2021-10-01,-1,-1,3
mlb,mlb_CIN,2022-04-01,-15,-15,21
mlb,mlb_CIN,2022-05-01,2,2,26
mlb,mlb_CIN,2022-06-01,-9,-9,27
mlb,mlb_CIN,2022-07-01,1,1,25
mlb,mlb_CIN,2022-08-01,-6,-6,28
mlb,mlb_CIN,2022-09-01,-9,-9,25
mlb,mlb_CIN,2022-10-01,-1,-1,5
mlb,mlb_CIN,2023-03-01,-1,-1,1
mlb,mlb_CIN,2023-04-01,-3,-3,27
mlb,mlb_CIN,2023-05-01,1,1,27
mlb,mlb_CIN,2023-06-01,9,9,27
mlb,mlb_CIN,2023-07-01,4,4,26
mlb,mlb_CIN,2023-08-01,-9,-9,25
mlb,mlb_CIN,2023-09-01,-1,-1,25
mlb,mlb_CIN,2023-10-01,-1,-1,1
mlb,mlb_CIN,2024-03-01,1,1,3
mlb,mlb_CIN,2024-04-01,1,1,27
mlb,mlb_CIN,2024-05-01,-9,-9,27
mlb,mlb_CIN,2024-06-01,1,1,27
mlb,mlb_CIN,2024-07-01,2,2,24
mlb,mlb_CIN,2024-08-01,-4,-4,28
mlb,mlb_CIN,2024-09-01,1,1,25
mlb,mlb_CLE,2020-07-01,1,1,7
mlb,mlb_CLE,2020-08-01,5,5,27
mlb,mlb_CLE,2020-09-01,3,3,25
mlb,mlb_CLE,2021-04-01,0,0,24
mlb,mlb_CLE,2021-05-01,3,3,27
mlb,mlb_CLE,2021-06-01,3,3,23
mlb,mlb_CLE,2021-07-01,-5,-5,23
mlb,mlb_CLE,2021-08-01,0,0,28
mlb,mlb_CLE,2021-09-01,-3,-3,27
mlb,mlb_CLE,2021-10-01,1,1,3
mlb,mlb_CLE,2022-04-01,-4,-4,20
mlb,mlb_CLE,2022-05-01,-2,-2,22
mlb,mlb_CLE,2022-06-01,10,10,26
mlb,mlb_CLE,2022-07-01,2,2,24
mlb,mlb_CLE,2022-08-01,6,6,26
mlb,mlb_CLE,2022-09-01,12,12,28
mlb,mlb_CLE,2022-10-01,1,1,5
mlb,mlb_CLE,2023-03-01,0,0,2
mlb,mlb_CLE,2023-04-01,0,0,24
mlb,mlb_CLE,2023-05-01,-2,-2,26
mlb,mlb_CLE,2023-06-01,2,2,26
mlb,mlb_CLE,2023-07-01,2,2,26
mlb,mlb_CLE,2023-08-01,-6,-6,26
mlb,mlb_CLE,2023-09-01,-3,-3,27
mlb,mlb_CLE,2023-10-01,-1,-1,1
mlb,mlb_CLE,2024-03-01,2,2,4
mlb,mlb_CLE,2024-04-01,8,8,24
mlb,mlb_CLE,2024-05-01,10,10,28
mlb,mlb_CLE,2024-06-01,3,3,25
mlb,mlb_CLE,2024-07-01,1,1,25
mlb,mlb_CLE,2024-08-01,-2,-2,26
mlb,mlb_CLE,2024-09-01,5,5,25
mlb,mlb_COL,2020-07-01,2,2,6
mlb,mlb_COL,2020-08-01,-3,-3,29
mlb,mlb_COL,2020-09-01,-6,-6,24
mlb,mlb_COL,2021-04-01,-9,-9,25
mlb,mlb_COL,2021-05-01,-6,-6,24
mlb,mlb_COL,2021-06-01,1,1,27
mlb,mlb_COL,2021-07-01,0,0,24
mlb,mlb_COL,2021-08-01,0,0,26
mlb,mlb_COL,2021-09-01,0,0,26
mlb,mlb_COL,2021-10-01,-1,-1,3
mlb,mlb_COL,2022-04-01,2,2,20
mlb,mlb_COL,2022-05-01,-9,-9,25
mlb,mlb_COL,2022-06-01,-8,-8,26
mlb,mlb_COL,2022-07-01,-1,-1,27
mlb,mlb_COL,2022-08-01,-7,-7,27
mlb,mlb_COL,2022-09-01,-7,-7,25
mlb,mlb_COL,2022-10-01,1,1,5
mlb,mlb_COL,2023-03-01,2,2,2
mlb,mlb_COL,2023-04-01,-13,-13,27
mlb,mlb_COL,2023-05-01,2,2,28
mlb,mlb_COL,2023-06-01,-9,-9,27
mlb,mlb_COL,2023-07-01,-4,-4,22
mlb,mlb_COL,2023-08-01,-13,-13,27
mlb,mlb_COL,2023-09-01,-10,-10,26
mlb,mlb_COL,2023-10-01,1,1,1
mlb,mlb_COL,2024-03-01,-2,-2,4
mlb,mlb_COL,2024-04-01,-12,-12,24
mlb,mlb_COL,2024-05-01,1,1,27
mlb,mlb_COL,2024-06-01,-13,-13,27
mlb,mlb_COL,2024-07-01,-3,-3,25
mlb,mlb_COL,2024-08-01,-4,-4,28
mlb,mlb_COL,2024-09-01,-5,-5,25
mlb,mlb_DET,2020-07-01,2,2,8
mlb,mlb_DET,2020-08-01,-2,-2,22
mlb,mlb_DET,2020-09-01,-12,-12,24
mlb,mlb_DET,2021-04-01,-11,-11,25
mlb,mlb_DET,2021-05-01,1,1,27
mlb,mlb_DET,2021-06-01,1,1,25
mlb,mlb_DET,2021-07-01,1,1,25
mlb,mlb_DET,2021-08-01,-2,-2,26
mlb,mlb_DET,2021-09-01,2,2,26
mlb,mlb_DET,2021-10-01,-1,-1,3
mlb,mlb_DET,2022-04-01,-5,-5,19
mlb,mlb_DET,2022-05-01,-4,-4,26
mlb,mlb_DET,2022-06-01,-5,-5,25
mlb,mlb_DET,2022-07-01,-4,-4,26
mlb,mlb_DET,2022-08-01,-10,-10,26
mlb,mlb_DET,2022-09-01,0,0,26
mlb,mlb_DET,2022-10-01,1,1,5
mlb,mlb_DET,2023-03-01,-1,-1,1
mlb,mlb_DET,2023-04-01,-6,-6,24
mlb,mlb_DET,2023-05-01,4,4,26
mlb,mlb_DET,2023-06-01,-8,-8,26
mlb,mlb_DET,2023-07-01,0,0,24
mlb,mlb_DET,2023-08-01,-1,-1,27
mlb,mlb_DET,2023-09-01,7,7,27
mlb,mlb_DET,2023-10-01,1,1,1
mlb,mlb_DET,2024-03-01,3,3,3
mlb,mlb_DET,2024-04-01,2,2,24
mlb,mlb_DET,2024-05-01,-4,-4,26
mlb,mlb_DET,2024-06-01,-7,-7,27
mlb,mlb_DET,2024-07-01,3,3,25
mlb,mlb_DET,2024-08-01,6,6,28
mlb,mlb_DET,2024-09-01,9,9,25
mlb,mlb_HOU,2020-07-01,1,1,7
mlb,mlb_HOU,2020-08-01,4,4,24
mlb,mlb_HOU,2020-09-01,-7,-7,25
mlb,mlb_HOU,2021-04-01,2,2,26
mlb,mlb_HOU,2021-05-01,3,3,27
mlb,mlb_HOU,2021-06-01,9,9,27
mlb,mlb_HOU,2021-07-01,8,8,24
mlb,mlb_HOU,2021-08-01,1,1,27
mlb,mlb_HOU,2021-09-01,3,3,27
mlb,mlb_HOU,2021-10-01,1,1,3
mlb,mlb_HOU,2022-04-01,1,1,21
mlb,mlb_HOU,2022-05-01,13,13,29
mlb,mlb_HOU,2022-06-01,7,7,25
mlb,mlb_HOU,2022-07-01,9,9,27
mlb,mlb_HOU,2022-08-01,6,6,28
mlb,mlb_HOU,2022-09-01,10,10,26
mlb,mlb_HOU,2022-10-01,3,3,5
mlb,mlb_HOU,2023-03-01,0,0,2
mlb,mlb_HOU,2023-04-01,2,2,26
mlb,mlb_HOU,2023-05-01,7,7,27
mlb,mlb_HOU,2023-06-01,-1,-1,27
mlb,mlb_HOU,2023-07-01,5,5,25
mlb,mlb_HOU,2023-08-01,6,6,28
mlb,mlb_HOU,2023-09-01,-2,-2,26
mlb,mlb_HOU,2023-10-01,1,1,1
mlb,mlb_HOU,2024-03-01,-4,-4,4
mlb,mlb_HOU,2024-04-01,-5,-5,25
mlb,mlb_HOU,2024-05-01,1,1,29
mlb,mlb_HOU,2024-06-01,9,9,25
mlb,mlb_HOU,2024-07-01,3,3,25
mlb,mlb_HOU,2024-08-01,8,8,28
mlb,mlb_HOU,2024-09-01,3,3,25
mlb,mlb_KCA,2020-07-01,-2,-2,8
mlb,mlb_KCA,2020-08-01,-5,-5,25
mlb,mlb_KCA,2020-09-01,-1,-1,25
mlb,mlb_KCA,2021-04-01,5,5,23
mlb,mlb_KCA,2021-05-01,-5,-5,27
mlb,mlb_KCA,2021-06-01,-13,-13,27
mlb,mlb_KCA,2021-07-01,0,0,24
mlb,mlb_KCA,2021-08-01,0,0,28
mlb,mlb_KCA,2021-09-01,-1,-1,27
mlb,mlb_KCA,2021-10-01,-1,-1,3
mlb,mlb_KCA,2022-04-01,-5,-5,19
mlb,mlb_KCA,2022-05-01,-11,-11,27
mlb,mlb_KCA,2022-06-01,-4,-4,26
mlb,mlb_KCA,2022-07-01,-3,-3,27
mlb,mlb_KCA,2022-08-01,-2,-2,28
mlb,mlb_KCA,2022-09-01,-6,-6,26
mlb,mlb_KCA,2022-10-01,-1,-1,5
mlb,mlb_KCA,2023-03-01,-1,-1,1
mlb,mlb_KCA,2023-04-01,-14,-14,28
mlb,mlb_KCA,2023-05-01,-7,-7,27
mlb,mlb_KCA,2023-06-01,-14,-14,26
mlb,mlb_KCA,2023-07-01,-6,-6,24
mlb,mlb_KCA,2023-08-01,-10,-10,28
mlb,mlb_KCA,2023-09-01,1,1,25
mlb,mlb_KCA,2023-10-01,1,1,1
mlb,mlb_KCA,2024-03-01,-1,-1,3
mlb,mlb_KCA,2024-04-01,7,7,27
mlb,mlb_KCA,2024-05-01,6,6,28
mlb,mlb_KCA,2024-06-01,-3,-3,27
mlb,mlb_KCA,2024-07-01,2,2,22
mlb,mlb_KCA,2024-08-01,1,1,27
mlb,mlb_KCA,2024-09-01,-3,-3,25
mlb,mlb_LAN,2020-07-01,2,2,8
mlb,mlb_LAN,2020-08-01,13,13,27
mlb,mlb_LAN,2020-09-01,10,10,24
mlb,mlb_LAN,2021-04-01,5,5,27
mlb,mlb_LAN,2021-05-01,6,6,26
mlb,mlb_LAN,2021-06-01,8,8,26
mlb,mlb_LAN,2021-07-01,2,2,26
mlb,mlb_LAN,2021-08-01,15,15,27
mlb,mlb_LAN,2021-09-01,12,12,26
mlb,mlb_LAN,2021-10-01,3,3,3
mlb,mlb_LAN,2022-04-01,6,6,20
mlb,mlb_LAN,2022-05-01,9,9,27
