date,City,index_sum,games,index_sum_7d,games_7d
2022-05-04,Anaheim,1,1,0.0,8.0
2022-05-05,Anaheim,1,1,0.0,8.0
2022-05-06,Anaheim,1,1,1.0,7.0
2022-05-07,Anaheim,-1,1,1.0,7.0
2022-05-08,Anaheim,1,1,1.0,7.0
2022-05-09,Anaheim,1,1,3.0,7.0
2022-05-10,Anaheim,1,1,5.0,7.0
2022-05-11,Anaheim,-1,1,3.0,7.0
2022-05-12,Anaheim,0,0,2.0,6.0
2022-05-13,Anaheim,1,1,2.0,6.0
2022-05-14,Anaheim,0,2,3.0,7.0
2022-05-15,Anaheim,1,1,3.0,7.0
2022-05-16,Anaheim,-1,1,1.0,7.0
2022-05-17,Anaheim,-1,1,-1.0,7.0
2022-05-18,Anaheim,-1,1,-1.0,7.0
2022-05-19,Anaheim,0,0,-1.0,7.0
2022-05-20,Anaheim,-1,1,-3.0,7.0
2022-05-21,Anaheim,1,1,-2.0,6.0
2022-05-22,Anaheim,1,1,-2.0,6.0
2022-05-23,Anaheim,0,0,-1.0,5.0
2022-05-24,Anaheim,1,1,1.0,5.0
2022-05-25,Anaheim,-1,1,1.0,5.0
2022-05-26,Anaheim,-1,1,0.0,6.0
2022-05-27,Anaheim,-1,1,0.0,6.0
2022-05-28,Anaheim,-1,1,-2.0,6.0
2022-05-29,Anaheim,-1,1,-4.0,6.0
2022-05-30,Anaheim,0,0,-4.0,6.0
2022-05-31,Anaheim,-1,1,-6.0,6.0
2022-06-01,Anaheim,0,0,-5.0,5.0
2022-06-02,Anaheim,-2,2,-6.0,6.0
2022-06-03,Anaheim,-1,1,-6.0,6.0
2022-06-04,Anaheim,-1,1,-6.0,6.0
2022-06-05,Anaheim,-1,1,-6.0,6.0
2022-06-06,Anaheim,-1,1,-7.0,7.0
2022-06-07,Anaheim,-1,1,-7.0,7.0
2022-06-08,Anaheim,-1,1,-8.0,8.0
2022-06-09,Anaheim,1,1,-5.0,7.0
2022-06-10,Anaheim,-1,1,-5.0,7.0
2022-06-11,Anaheim,1,1,-3.0,7.0
2022-06-12,Anaheim,-1,1,-3.0,7.0
2022-06-13,Anaheim,0,0,-2.0,6.0
2022-06-14,Anaheim,-1,1,-2.0,6.0
2022-06-15,Anaheim,-1,1,-2.0,6.0
2022-06-16,Anaheim,1,1,-2.0,6.0
2022-06-17,Anaheim,-1,1,-2.0,6.0
2022-06-18,Anaheim,2,2,-1.0,7.0
2022-06-19,Anaheim,1,1,1.0,7.0
2022-06-20,Anaheim,-1,1,0.0,8.0
2022-06-21,Anaheim,-1,1,0.0,8.0
2022-06-22,Anaheim,1,1,2.0,8.0
2022-06-23,Anaheim,0,0,1.0,7.0
2022-06-24,Anaheim,-1,1,1.0,7.0
2022-06-25,Anaheim,-1,1,-2.0,6.0
2022-06-26,Anaheim,1,1,-2.0,6.0
2022-06-27,Anaheim,1,1,0.0,6.0
2022-06-28,Anaheim,-1,1,0.0,6.0
2022-06-29,Anaheim,1,1,0.0,6.0
2022-06-30,Anaheim,0,0,0.0,6.0
2022-07-01,Anaheim,-1,1,0.0,6.0
2022-07-02,Anaheim,-1,1,0.0,6.0
2022-07-03,Anaheim,-1,1,-2.0,6.0
2022-07-04,Anaheim,0,0,-3.0,5.0
2022-07-05,Anaheim,-1,1,-3.0,5.0
2022-07-06,Anaheim,1,1,-3.0,5.0
2022-07-07,Anaheim,-1,1,-4.0,6.0
2022-07-08,Anaheim,-1,1,-4.0,6.0
2022-07-09,Anaheim,-1,1,-4.0,6.0
2022-07-10,Anaheim,-1,1,-4.0,6.0
2022-07-11,Anaheim,0,0,-4.0,6.0
2022-07-12,Anaheim,-1,1,-4.0,6.0
2022-07-13,Anaheim,1,1,-4.0,6.0
2022-07-14,Anaheim,-1,1,-4.0,6.0
2022-07-15,Anaheim,-1,1,-4.0,6.0
2022-07-16,Anaheim,-1,1,-4.0,6.0
2022-07-17,Anaheim,0,0,-3.0,5.0
2022-07-18,Anaheim,0,0,-3.0,5.0
2022-07-19,Anaheim,0,0,-2.0,4.0
2022-07-20,Anaheim,0,0,-3.0,3.0
2022-07-21,Anaheim,0,0,-2.0,2.0
2022-07-22,Anaheim,-1,1,-2.0,2.0
2022-07-23,Anaheim,-1,1,-2.0,2.0
2022-07-24,Anaheim,1,1,-1.0,3.0
2022-07-25,Anaheim,-1,1,-2.0,4.0
2022-07-26,Anaheim,1,1,-1.0,5.0
2022-07-27,Anaheim,1,1,0.0,6.0
2022-07-28,Anaheim,-1,1,-1.0,7.0
2022-07-29,Anaheim,-1,1,-1.0,7.0
2022-07-30,Anaheim,1,1,1.0,7.0
2022-07-31,Anaheim,-1,1,-1.0,7.0
2022-08-01,Anaheim,0,0,0.0,6.0
2022-08-02,Anaheim,1,1,0.0,6.0
2022-08-03,Anaheim,-1,1,-2.0,6.0
2022-08-04,Anaheim,-1,1,-2.0,6.0
2022-08-05,Anaheim,1,1,0.0,6.0
2022-08-06,Anaheim,0,2,-1.0,7.0
2022-08-07,Anaheim,-1,1,-1.0,7.0
2022-08-08,Anaheim,1,1,0.0,8.0
2022-08-09,Anaheim,1,1,0.0,8.0
2022-08-10,Anaheim,1,1,2.0,8.0
2022-08-11,Anaheim,0,0,3.0,7.0
2022-08-12,Anaheim,-1,1,1.0,7.0
2022-08-13,Anaheim,1,1,2.0,6.0
2022-08-14,Anaheim,1,1,4.0,6.0
2022-08-15,Anaheim,-1,1,2.0,6.0
2022-08-16,Anaheim,-1,1,0.0,6.0
2022-08-17,Anaheim,-1,1,-2.0,6.0
2022-08-18,Anaheim,0,0,-2.0,6.0
2022-08-19,Anaheim,1,1,0.0,6.0
2022-08-20,Anaheim,-1,1,-2.0,6.0
2022-08-21,Anaheim,-1,1,-4.0,6.0
2022-08-22,Anaheim,-1,1,-4.0,6.0
2022-08-23,Anaheim,-1,1,-4.0,6.0
2022-08-24,Anaheim,-1,1,-4.0,6.0
2022-08-25,Anaheim,-1,1,-5.0,7.0
2022-08-26,Anaheim,1,1,-5.0,7.0
2022-08-27,Anaheim,1,1,-3.0,7.0
2022-08-28,Anaheim,1,1,-1.0,7.0
2022-08-29,Anaheim,1,1,1.0,7.0
2022-08-30,Anaheim,-1,1,1.0,7.0
2022-08-31,Anaheim,1,1,3.0,7.0
2022-09-01,Anaheim,0,0,4.0,6.0
2022-09-02,Anaheim,-1,1,2.0,6.0
2022-09-03,Anaheim,1,1,2.0,6.0
2022-09-04,Anaheim,-1,1,0.0,6.0
2022-09-05,Anaheim,1,1,0.0,6.0
2022-09-06,Anaheim,1,1,2.0,6.0
2022-09-07,Anaheim,-1,1,0.0,6.0
2022-09-08,Anaheim,0,0,0.0,6.0
2022-09-09,Anaheim,-1,1,0.0,6.0
2022-09-10,Anaheim,1,1,0.0,6.0
2022-09-11,Anaheim,-1,1,0.0,6.0
2022-09-12,Anaheim,-1,1,-2.0,6.0
2022-09-13,Anaheim,-1,1,-4.0,6.0
2022-09-14,Anaheim,-1,1,-4.0,6.0
2022-09-15,Anaheim,0,0,-4.0,6.0
2022-09-16,Anaheim,1,1,-2.0,6.0
2022-09-17,Anaheim,1,1,-2.0,6.0
2022-09-18,Anaheim,1,1,0.0,6.0
2022-09-19,Anaheim,-1,1,0.0,6.0
2022-09-20,Anaheim,1,1,2.0,6.0
2022-09-21,Anaheim,-1,1,2.0,6.0
2022-09-22,Anaheim,-1,1,1.0,7.0
2022-09-23,Anaheim,1,1,1.0,7.0
2022-09-24,Anaheim,-1,1,-1.0,7.0
2022-09-25,Anaheim,1,1,-1.0,7.0
2022-09-26,Anaheim,0,0,0.0,6.0
2022-09-27,Anaheim,1,1,0.0,6.0
2022-09-28,Anaheim,1,1,2.0,6.0
2022-09-29,Anaheim,1,1,4.0,6.0
2022-09-30,Anaheim,1,1,4.0,6.0
2022-10-01,Anaheim,1,1,6.0,6.0
2022-10-02,Anaheim,1,1,6.0,6.0
2022-10-03,Anaheim,-1,1,5.0,7.0
2022-10-04,Anaheim,-1,1,3.0,7.0
2022-10-05,Anaheim,-1,1,1.0,7.0
2022-10-06,Anaheim,0,0,0.0,6.0
2022-10-07,Anaheim,0,0,-1.0,5.0
2022-10-08,Anaheim,0,0,-2.0,4.0
2022-10-09,Anaheim,0,0,-3.0,3.0
2022-10-10,Anaheim,0,0,-2.0,2.0
2022-10-11,Anaheim,0,0,-1.0,1.0
2022-10-12,Anaheim,1,1,1.0,1.0
2022-10-13,Anaheim,0,0,1.0,1.0
2022-10-14,Anaheim,0,0,1.0,1.0
2022-10-15,Anaheim,-1,1,0.0,2.0
2022-10-16,Anaheim,0,0,0.0,2.0
2022-10-17,Anaheim,-1,1,-1.0,3.0
2022-10-18,Anaheim,-1,1,-2.0,4.0
2022-10-19,Anaheim,0,0,-3.0,3.0
2022-10-20,Anaheim,-1,1,-4.0,4.0
2022-10-21,Anaheim,0,0,-4.0,4.0
2022-10-22,Anaheim,0,0,-3.0,3.0
2022-10-23,Anaheim,-1,1,-4.0,4.0
2022-10-24,Anaheim,0,0,-3.0,3.0
2022-10-25,Anaheim,0,0,-2.0,2.0
2022-10-26,Anaheim,-1,1,-3.0,3.0
2022-10-27,Anaheim,0,0,-2.0,2.0
2022-10-28,Anaheim,-1,1,-3.0,3.0
2022-10-29,Anaheim,0,0,-3.0,3.0
2022-10-30,Anaheim,1,1,-1.0,3.0
2022-10-31,Anaheim,0,0,-1.0,3.0
2022-11-01,Anaheim,1,1,0.0,4.0
2022-11-02,Anaheim,0,0,1.0,3.0
2022-11-03,Anaheim,-1,1,0.0,4.0
2022-11-04,Anaheim,0,0,1.0,3.0
2022-11-05,Anaheim,1,1,2.0,4.0
2022-11-06,Anaheim,-1,1,0.0,4.0
2022-11-07,Anaheim,0,0,0.0,4.0
2022-11-08,Anaheim,0,0,-1.0,3.0
2022-11-09,Anaheim,-1,1,-2.0,4.0
2022-11-10,Anaheim,0,0,-1.0,3.0
2022-11-11,Anaheim,0,0,-1.0,3.0
2022-11-12,Anaheim,-1,1,-3.0,3.0
2022-11-13,Anaheim,0,0,-2.0,2.0
2022-11-14,Anaheim,0,0,-2.0,2.0
2022-11-15,Anaheim,1,1,-1.0,3.0
2022-11-16,Anaheim,0,0,0.0,2.0
2022-11-17,Anaheim,-1,1,-1.0,3.0
2022-11-18,Anaheim,0,0,-1.0,3.0
2022-11-19,Anaheim,-1,1,-1.0,3.0
2022-11-20,Anaheim,0,0,-1.0,3.0
2022-11-21,Anaheim,-1,1,-2.0,4.0
2022-11-22,Anaheim,0,0,-3.0,3.0
2022-11-23,Anaheim,1,1,-2.0,4.0
2022-11-24,Anaheim,0,0,-1.0,3.0
2022-11-25,Anaheim,-1,1,-2.0,4.0
2022-11-26,Anaheim,0,0,-1.0,3.0
2022-11-27,Anaheim,-1,1,-2.0,4.0
2022-11-28,Anaheim,0,0,-1.0,3.0
2022-11-29,Anaheim,-1,1,-2.0,4.0
2022-11-30,Anaheim,0,0,-3.0,3.0
2022-12-01,Anaheim,-1,1,-4.0,4.0
